time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1676794782.00747156,0.00000000,0.00000098,0.00000455,1485.00000000,0.01782736,0.000000,0.000000
1676794782.10798168,0.00000000,0.00000140,0.00000486,1485.00000000,0.03510659,0.000000,0.000000
1676794782.20809937,0.00000000,0.00000091,0.00000495,1485.00000000,0.03326393,0.000000,0.000000
1676794782.30698967,0.00000000,0.00000098,0.00000453,1485.00000000,0.02179692,0.000000,0.000000
1676794782.40709400,0.00000000,0.00000098,0.00000522,1485.00000000,0.04664787,0.000000,0.000000
1676794782.50698709,0.00000000,0.00000091,0.00000479,1485.00000000,0.02698048,0.000000,0.000000
1676794782.60686803,0.00000000,0.00000098,0.00000417,1485.00000000,0.01574066,0.000000,0.000000
1676794782.70749688,0.00000000,0.00000091,0.00000427,1485.00000000,0.01699146,0.000000,0.000000
1676794782.80701733,0.00000000,0.00000140,0.00000410,1485.00000000,0.01621985,0.000000,0.000000
1676794782.90699530,0.00000000,0.00000098,0.00000416,1485.00000000,0.01092957,0.000000,0.000000
1676794783.00775242,0.00000000,0.00000098,0.00000446,1485.00000000,0.02071881,0.000000,0.000000
1676794783.10799384,0.00000000,0.00000098,0.00000544,1485.00000000,0.02216583,0.000000,0.000000
1676794783.20689464,0.00000000,0.00000091,0.00000456,1485.00000000,0.01832452,0.000000,0.000000
1676794783.30670023,0.00000000,0.00000091,0.00000476,1485.00000000,0.01731850,0.000000,0.000000
1676794783.40707850,0.00000000,0.00000091,0.00000466,1485.00000000,0.03038681,0.000000,0.000000
1676794783.50693703,0.00000000,0.00000098,0.00000469,1485.00000000,0.01699580,0.000000,0.000000
1676794783.60681534,0.00000000,0.00000091,0.00000426,1485.00000000,0.01215526,0.000000,0.000000
1676794783.70800018,0.00000000,0.00000091,0.00000431,1485.00000000,0.02371901,0.000000,0.000000
1676794783.80687642,0.00000000,0.00000147,0.00000427,1485.00000000,0.03934334,0.000000,0.000000
1676794783.90803838,0.00000000,0.00000098,0.00000445,1485.00000000,0.02215973,0.000000,0.000000
1676794784.00712609,0.00000000,0.00000098,0.00000485,1485.00000000,0.04455183,0.000000,0.000000
1676794784.10828948,0.00000000,0.00000098,0.00000438,1485.00000000,0.01100113,0.000000,0.000000
1676794784.20707130,0.00000000,0.00000098,0.00000409,1485.00000000,0.01522877,0.000000,0.000000
1676794784.30698967,0.00000000,0.00000098,0.00000416,1485.00000000,0.01699517,0.000000,0.000000
1676794784.40812922,0.00000000,0.00000091,0.00000411,1485.00000000,0.01295303,0.000000,0.000000
1676794784.50778651,0.00000000,0.00000091,0.00000434,1485.00000000,0.01498017,0.000000,0.000000
1676794784.60755205,0.00000000,0.00000091,0.00000451,1485.00000000,0.02051026,0.000000,0.000000
1676794784.70755291,0.00000000,0.00000098,0.00000426,1485.00000000,0.01892476,0.000000,0.000000
1676794784.80703259,0.00000000,0.00000091,0.00000429,1485.00000000,0.02251991,0.000000,0.000000
1676794784.90692115,0.00000000,0.00000098,0.00000425,1485.00000000,0.02111768,0.000000,0.000000
1676794785.00690484,0.00000000,0.00000098,0.00000426,1485.00000000,0.02094421,0.000000,0.000000
1676794785.10694766,0.00000000,0.00000098,0.00000427,1485.00000000,0.02308305,0.000000,0.000000
1676794785.20713949,0.00000000,0.00000091,0.00000386,1485.00000000,0.02008085,0.000000,0.000000
1676794785.30714798,0.00000000,0.00000098,0.00000386,1485.00000000,0.02323771,0.000000,0.000000
1676794785.40824914,0.00000000,0.00000098,0.00000404,1485.00000000,0.03272092,0.000000,0.000000
1676794785.50742126,0.00000000,0.00000091,0.00000434,1485.00000000,0.01983105,0.000000,0.000000
1676794785.60708213,0.00000000,0.00000091,0.00000417,1485.00000000,0.04657069,0.000000,0.000000
1676794785.70804453,0.00000000,0.00000091,0.00000399,1485.00000000,0.02683665,0.000000,0.000000
1676794785.80732512,0.00000000,0.00000140,0.00000457,1485.00000000,0.03288172,0.000000,0.000000
1676794785.90706968,0.00000000,0.00000140,0.00000415,1485.00000000,0.01586029,0.000000,0.000000
1676794786.00731039,0.00000000,0.00000091,0.00000424,1485.00000000,0.01514058,0.000000,0.000000
1676794786.10761452,0.00000000,0.00000098,0.00000381,1485.00000000,0.01937208,0.000000,0.000000
1676794786.20756817,0.00000000,0.00000140,0.00000426,1485.00000000,0.01199166,0.000000,0.000000
1676794786.30714941,0.00000000,0.00000091,0.00000391,1485.00000000,0.01855158,0.000000,0.000000
1676794786.40694475,0.00000000,0.00000091,0.00000429,1485.00000000,0.03946924,0.000000,0.000000
1676794786.50716734,0.00000000,0.00000098,0.00000409,1485.00000000,0.01481708,0.000000,0.000000
1676794786.60711956,0.00000000,0.00000140,0.00000402,1485.00000000,0.02184610,0.000000,0.000000
1676794786.70717287,0.00000000,0.00000091,0.00000387,1485.00000000,0.01847626,0.000000,0.000000
1676794786.80751562,0.00000000,0.00000091,0.00000408,1485.00000000,0.02120020,0.000000,0.000000
1676794786.90756989,0.00000000,0.00000147,0.00000409,1485.00000000,0.04226102,0.000000,0.000000
1676794787.00744081,0.00000000,0.00000098,0.00000369,1485.00000000,0.01623952,0.000000,0.000000
1676794787.10758042,0.00000000,0.00000098,0.00000407,1485.00000000,0.01770315,0.000000,0.000000
1676794787.20750737,0.00000000,0.00000098,0.00000400,1485.00000000,0.01726428,0.000000,0.000000
1676794787.30706382,0.00000000,0.00000091,0.00000391,1485.00000000,0.02470768,0.000000,0.000000
1676794787.40734363,0.00000000,0.00000091,0.00000374,1485.00000000,0.02465957,0.000000,0.000000
1676794787.50756359,0.00000000,0.00000098,0.00000349,1485.00000000,0.04217258,0.000000,0.000000
1676794787.60758686,0.00000000,0.00000098,0.00000363,1485.00000000,0.02440675,0.000000,0.000000
1676794787.70683599,0.00000000,0.00000091,0.00000396,1485.00000000,0.02354262,0.000000,0.000000
1676794787.80718899,0.00000000,0.00000098,0.00000409,1485.00000000,0.05663860,0.000000,0.000000
1676794787.90719104,0.00000000,0.00000098,0.00000426,1485.00000000,0.01684770,0.000000,0.000000
1676794788.00683880,0.00000000,0.00000098,0.00000364,1485.00000000,0.02466545,0.000000,0.000000
1676794788.10711098,0.00000000,0.00000098,0.00000386,1485.00000000,0.04160239,0.000000,0.000000
1676794788.20720124,0.00000000,0.00000098,0.00000337,1485.00000000,0.01075514,0.000000,0.000000
1676794788.30752993,0.00000000,0.00000098,0.00000338,1485.00000000,0.01351783,0.000000,0.000000
1676794788.40923357,0.00000000,0.00000140,0.00000362,1485.00000000,0.01031634,0.000000,0.000000
1676794788.50708389,0.00000000,0.00000091,0.00000370,1485.00000000,0.01679359,0.000000,0.000000
1676794788.60696363,0.00000000,0.00000098,0.00000336,1485.00000000,0.01418684,0.000000,0.000000
1676794788.70785427,0.00000000,0.00000098,0.00000359,1485.00000000,0.01895975,0.000000,0.000000
1676794788.80807519,0.00000000,0.00000140,0.00000350,1485.00000000,0.01743284,0.000000,0.000000
1676794788.90720391,0.00000000,0.00000049,0.00000379,1485.00000000,0.04728574,0.000000,0.000000
1676794789.00798035,0.00000000,0.00000147,0.00000348,1485.00000000,0.02655375,0.000000,0.000000
1676794789.10693574,0.00000000,0.00000098,0.00000351,1485.00000000,0.01764690,0.000000,0.000000
1676794789.20715547,0.00000000,0.00000098,0.00000319,1485.00000000,0.01508142,0.000000,0.000000
1676794789.30798101,0.00000000,0.00000049,0.00000319,1485.00000000,0.01811098,0.000000,0.000000
1676794789.40700006,0.00000000,0.00000098,0.00000355,1485.00000000,0.02145522,0.000000,0.000000
1676794789.50787067,0.00000000,0.00000147,0.00000426,1485.00000000,0.05666893,0.000000,0.000000
1676794789.60782242,0.00000000,0.00000098,0.00000396,1485.00000000,0.01198661,0.000000,0.000000
1676794789.70798540,0.00000000,0.00000091,0.00000368,1485.00000000,0.01916836,0.000000,0.000000
1676794789.80694389,0.00000000,0.00000098,0.00000324,1485.00000000,0.00921474,0.000000,0.000000
1676794789.90837812,0.00000000,0.00000098,0.00000314,1485.00000000,0.01247331,0.000000,0.000000
1676794790.00712156,0.00000000,0.00000140,0.00000371,1485.00000000,0.01722873,0.000000,0.000000
1676794790.10710430,0.00000000,0.00000098,0.00000333,1485.00000000,0.01705600,0.000000,0.000000
1676794790.20761538,0.00000000,0.00000098,0.00000352,1485.00000000,0.01133605,0.000000,0.000000
1676794790.30714869,0.00000000,0.00000098,0.00000300,1485.00000000,0.01418785,0.000000,0.000000
1676794790.40753484,0.00000000,0.00000098,0.00000308,1485.00000000,0.01533688,0.000000,0.000000
1676794790.50693560,0.00000000,0.00000098,0.00000343,1485.00000000,0.01899182,0.000000,0.000000
1676794790.60717797,0.00000000,0.00000091,0.00000286,1485.00000000,0.02228038,0.000000,0.000000
1676794790.70904517,0.00000000,0.00000098,0.00000288,1485.00000000,0.01774588,0.000000,0.000000
1676794790.80700588,0.00000000,0.00000091,0.00000292,1485.00000000,0.01512127,0.000000,0.000000
1676794790.90715671,0.00000000,0.00000098,0.00000281,1485.00000000,0.01017399,0.000000,0.000000
1676794791.00674272,0.00000000,0.00000091,0.00000327,1485.00000000,0.01915734,0.000000,0.000000
1676794791.10745263,0.00000000,0.00000091,0.00000303,1485.00000000,0.04115088,0.000000,0.000000
1676794791.20824027,0.00000000,0.00000098,0.00000342,1485.00000000,0.02993101,0.000000,0.000000
1676794791.30689502,0.00000000,0.00000098,0.00000339,1485.00000000,0.01419286,0.000000,0.000000
1676794791.40812683,0.00000000,0.00000091,0.00000417,1485.00000000,0.03052416,0.000000,0.000000
1676794791.50713444,0.00000000,0.00000098,0.00000318,1485.00000000,0.01012144,0.000000,0.000000
1676794791.60713649,0.00000000,0.00000091,0.00000295,1485.00000000,0.01868954,0.000000,0.000000
1676794791.70751286,0.00000000,0.00000140,0.00000281,1485.00000000,0.01035582,0.000000,0.000000
1676794791.80790830,0.00000000,0.00000098,0.00000272,1485.00000000,0.01195168,0.000000,0.000000
1676794791.90768957,0.00000000,0.00000098,0.00000303,1485.00000000,0.01685727,0.000000,0.000000
